a	eɪ
exhibit	ɪɡˈzɪbɪt
exogenous	ekˈsɒdʒənəs
exodus	ˈeksədəs
existentialism	ˌeɡzɪˈstenʃəlɪzəm
existentialist	ˌeɡzɪˈstenʃəlɪst
exocrine	ˈeksəʊkraɪn
exorcize	ˈeksɔːsaɪz
exiguous	eɡˈzɪɡjuəs
exosphere	ˈeksəʊsfɪə(r)
expandable	ɪkˈspændəbl
exonerate	ɪɡˈzɒnəreɪt
exoneration	ɪɡˌzɒnəˈreɪʃn
exigency	ˈeksɪdʒənsi
exogamy	ekˈsɒɡəmi
exogamous	ekˈsɒɡəməs
existent	ɪɡˈzɪstənt
exit	ˈeksɪt
existential	ˌeɡzɪˈstenʃəl
expect	ɪkˈspekt
exotica	ɪɡˈzɒtɪkə
expatriate	ˌeksˈpætriət
exercise	ˈeksəsaɪz
exorcism	ˈeksɔːsɪzəm
exotic	ɪɡˈzɒtɪk
expand	ɪkˈspænd
expansivity	ˌɪkspænˈsɪvɪti
expanse	ɪkˈspæns
expansion	ɪkˈspænʃn
expectant	ɪkˈspektənt
expectantly	ɪkˈspektəntli
exoskeleton	ˈeksəʊskelɪtn
expansive	ɪkˈspænsɪv
expansively	ɪkˈspænsɪvli
exothermic	ˌeksəʊˈθɜːmɪk
expatiate	ɪkˈspeɪʃieɪt
expansionary	ɪkˈspænʃənri
expectorant	ɪkˈspektərənt
expectorate	ɪkˈspektəreɪt
expectoration	ɪkˌspektəˈreɪʃn
expedient	ɪkˈspiːdiənt
expectation	ˌekspekˈteɪʃn
exoticism	ɪɡˈzɒtɪsɪzəm
expected	ɪkˈspektɪd
exorcist	ˈeksɔːsɪst
exorbitant	ɪɡˈzɔːbɪtənt
exorbitantly	ɪɡˈzɔːbɪtəntli
expeditious	ˌekspəˈdɪʃəs
expeditiously	ˌekspəˈdɪʃəsli
expectancy	ɪkˈspektənsi
experiment	ɪkˈsperɪmənt
experience	ɪkˈspɪəriəns
expedite	ˈekspədaɪt
expense	ɪkˈspens
expend	ɪkˈspend
experienced	ɪkˈspɪəriənst
expendable	ɪkˈspendəbl
expensive	ɪkˈspensɪv
expensively	ɪkˈspensɪvli
expenditure	ɪkˈspendɪtʃə(r)
experimental	ɪkˌsperɪˈmentl
experimentally	ɪkˌsperɪˈmentəli
expedition	ˌekspəˈdɪʃn
expansionism	ɪkˈspænʃənɪzəm
expansionist	ɪkˈspænʃənɪst
experimentation	ɪkˌsperɪmenˈteɪʃn
expert	ˈekspɜːt
experiential	ɪkˌspɪəriˈenʃl
expiry	ɪkˈspaɪəri
expiate	ˈekspieɪt
expiation	ˌekspiˈeɪʃn
exploit	ɪkˈsplɔɪt
explain	ɪkˈspleɪn
expel	ɪkˈspel
expertise	ˌekspɜːˈtiːz
explode	ɪkˈspləʊd
explicit	ɪkˈsplɪsɪt
explicitly	ɪkˈsplɪsɪtli
expiration	ˌekspəˈreɪʃn
expletive	ɪkˈspliːtɪv
explanation	ˌekspləˈneɪʃn
explicate	ˈeksplɪkeɪt
explication	ˌeksplɪˈkeɪʃn
exploitative	ɪkˈsplɔɪtətɪv
exploded	ɪkˈspləʊdɪd
exploitation	ˌeksplɔɪˈteɪʃn
explore	ɪkˈsplɔː(r)
exponent	ɪkˈspəʊnənt
explorer	ɪkˈsplɔːrə(r)
explosive	ɪkˈspləʊsɪv
exposed	ɪkˈspəʊzd
expository	ɪkˈspɒzətri
exposure	ɪkˈspəʊʒə(r)
express	ɪkˈspres
explicable	ɪkˈsplɪkəbl
exploratory	ɪkˈsplɒrətri
explanatory	ɪkˈsplænətri
expire	ɪkˈspaɪə(r)
exponential	ˌekspəˈnenʃl
exponentially	ˌekspəˈnenʃəli
export	ɪkˈspɔːt
exploration	ˌekspləˈreɪʃn
expose	ɪkˈspəʊz
exporter	ekˈspɔːtə(r)
exposition	ˌekspəˈzɪʃn
expressive	ɪkˈspresɪv
expressively	ɪkˈspresɪvli
expressly	ɪkˈspresli
expostulate	ɪkˈspɒstʃuleɪt
expostulation	ɪkˌspɒstʃuˈleɪʃn
expressway	ɪkˈspresweɪ
expropriate	eksˈprəʊprieɪt
expropriation	ˌeksˌprəʊpriˈeɪʃn
expressionless	ɪkˈspreʃənləs
expulsion	ɪkˈspʌlʃn
exportation	ˌekspɔːˈteɪʃn
expurgate	ˈekspəɡeɪt
expound	ɪkˈspaʊnd
exquisite	ɪkˈskwɪzɪt
expunge	ɪkˈspʌndʒ
extempore	ekˈstempəri
expressionism	ɪkˈspreʃənɪzəm
expressionist	ɪkˈspreʃənɪst
exterior	ɪkˈstɪəriə(r)
external	ɪkˈstɜːnl
externally	ɪkˈstɜːnəli
extendable	ɪkˈstendəbl
extended	ɪkˈstendɪd
extemporize	ɪkˈstempəraɪz
extemporization	ɪkˌstempəraɪˈzeɪʃn
extenuating	ɪkˈstenjueɪtɪŋ
expression	ɪkˈspreʃn
externality	ˌekstɜːˈnæləti
extension	ɪkˈstenʃn
externals	ɪkˈstɜːnlz
extinct	ɪkˈstɪŋkt
externalize	ɪkˈstɜːnəlaɪz
externalization	ɪkˌstɜːnəlaɪˈzeɪʃn
extant	ekˈstænt
extra	ˈekstrə
extern	ˈekstɜːn
extortionate	ɪkˈstɔːʃənət
extortionately	ɪkˈstɔːʃənətli
extinction	ɪkˈstɪŋkʃn
extort	ɪkˈstɔːt
extortion	ɪkˈstɔːʃn
extinguish	ɪkˈstɪŋɡwɪʃ
explosion	ɪkˈspləʊʒn
extraction	ɪkˈstrækʃn
extensive	ɪkˈstensɪv
extensively	ɪkˈstensɪvli
extractor	ɪkˈstræktə(r)
extraneous	ɪkˈstreɪniəs
extravaganza	ɪkˌstrævəˈɡænzə
extirpate	ˈekstəpeɪt
extirpation	ˌekstəˈpeɪʃn
extol	ɪkˈstəʊl
extremely	ɪkˈstriːmli
extremist	ɪkˈstriːmɪst
extremism	ɪkˈstriːmɪzəm
exuberant	ɪɡˈzjuːbərənt
exuberance	ɪɡˈzjuːbərəns
extraordinary	ɪkˈstrɔːdnri
extraordinarily	ɪkˈstrɔːdnrəli
extravagance	ɪkˈstrævəɡəns
extend	ɪkˈstend
exult	ɪɡˈzʌlt
extremity	ɪkˈstreməti
extractive	ɪkˈstræktɪv
extracorporeal	ˌekstrəkɔːˈpɔːriəl
extent	ɪkˈstent
extradite	ˈekstrədaɪt
extradition	ˌekstrəˈdɪʃn
extrovert	ˈekstrəvɜːt
extrinsic	eksˈtrɪnsɪk
eye	aɪ
exude	ɪɡˈzjuːd
extrapolate	ɪkˈstræpəleɪt
extrapolation	ɪkˌstræpəˈleɪʃn
eyelid	ˈaɪlɪd
fab	fæb
extrusive	ɪkˈstruːsɪv
eyeball	ˈaɪbɔːl
extravagant	ɪkˈstrævəɡənt
extravagantly	ɪkˈstrævəɡəntli
exultant	ɪɡˈzʌltənt
exultantly	ɪɡˈzʌltəntli
eyeglass	ˈaɪɡlɑːs
extrude	ɪkˈstruːd
extrusion	ɪkˈstruːʒn
fabricate	ˈfæbrɪkeɪt
fabrication	ˌfæbrɪˈkeɪʃn
fabled	ˈfeɪbld
fabric	ˈfæbrɪk
eyelet	ˈaɪlət
f	ef
f's	efs
eyelash	ˈaɪlæʃ
eyebrow	ˈaɪbraʊ
face	feɪs
eyeful	ˈaɪfʊl
eyesight	ˈaɪsaɪt
fabulist	ˈfæbjəlɪst
fable	ˈfeɪbl
fabulous	ˈfæbjələs
eyesore	ˈaɪsɔː(r)
exultation	ˌeɡzʌlˈteɪʃn
eyepatch	ˈaɪpætʃ
facial	ˈfeɪʃl
facially	ˈfeɪʃəli
facetious	fəˈsiːʃəs
facetiously	fəˈsiːʃəsli
facing	ˈfeɪsɪŋ
eyeliner	ˈaɪlaɪnə(r)
faceless	ˈfeɪsləs
fabulously	ˈfæbjələsli
fa	ˌef ˈeɪ
facade	fəˈsɑːd
factional	ˈfækʃnəl
fact	fækt
facile	ˈfæsaɪl
facilitator	fəˈsɪlɪteɪtə(r)
facsimile	fækˈsɪməli
facilitate	fəˈsɪlɪteɪt
facilitation	fəˌsɪlɪˈteɪʃn
factor	ˈfæktə(r)
facility	fəˈsɪləti
factitious	fækˈtɪʃəs
eyrie	ˈɪəri
facet	ˈfæsɪt
factorial	fækˈtɔːriəl
factitive	ˈfæktətɪv
factual	ˈfæktʃuəl
factually	ˈfæktʃuəli
factive	ˈfæktɪv
faction	ˈfækʃn
fade	feɪd
factory	ˈfæktri
factoid	ˈfæktɔɪd
faculty	ˈfæklti
faddy	ˈfædi
faddiness	ˈfædinəs
faeces	ˈfiːsiːz
faecal	ˈfiːkl
fagged	fæɡd
faff	fæf
failing	ˈfeɪlɪŋ
failed	feɪld
faint	feɪnt
faintly	feɪntli
fah	fɑː
fair	feə(r)
fain	feɪn
failure	ˈfeɪljə(r)
fairly	ˈfeəli
fad	fæd
factorize	ˈfæktəraɪz
factotum	fækˈtəʊtəm
fader	ˈfeɪdə(r)
fairyland	ˈfeərilænd
fairness	ˈfeənəs
fag	fæɡ
faithfully	ˈfeɪθfəli
fairy	ˈfeəri
faith	feɪθ
fake	feɪk
faggot	ˈfæɡət
fairway	ˈfeəweɪ
fajitas	fəˈhiːtəs
faithless	ˈfeɪθləs
faintness	ˈfeɪntnəs
falcon	ˈfɔːlkən
fakir	ˈfeɪkɪə(r)
fairground	ˈfeəɡraʊnd
falconry	ˈfɔːlkənri
fallow	ˈfæləʊ
fallible	ˈfæləbl
fallibility	ˌfæləˈbɪləti
false	fɔːls
falsely	fɔːlsli
falafel	fəˈlæfl
falconer	ˈfɔːlkənə(r)
fallacy	ˈfæləsi
fame	feɪm
fallacious	fəˈleɪʃəs
falsies	ˈfɔːlsiz
falter	ˈfɔːltə(r)
faltering	ˈfɔːltərɪŋ
faithful	ˈfeɪθfl
faithfulness	ˈfeɪθflnəs
falsehood	ˈfɔːlshʊd
fail	feɪl
familial	fəˈmɪliəl
famed	feɪmd
familiarize	fəˈmɪliəraɪz
familiarization	fəˌmɪliəraɪˈzeɪʃn
familiarly	fəˈmɪliəli
famous	ˈfeɪməs
famously	ˈfeɪməsli
fanatic	fəˈnætɪk
fanatical	fəˈnætɪkl
fancy	ˈfænsi
fanciable	ˈfænsiəbl
fancier	ˈfænsiə(r)
falsity	ˈfɔːlsəti
familiarity	fəˌmɪliˈærəti
family	ˈfæməli
falsify	ˈfɔːlsɪfaɪ
falsification	ˌfɔːlsɪfɪˈkeɪʃn
falsetto	fɔːlˈsetəʊ
famine	ˈfæmɪn
fanaticism	fəˈnætɪsɪzəm
fanlight	ˈfænlaɪt
fandango	fænˈdæŋɡəʊ
fanfare	ˈfænfeə(r)
fanny	ˈfæni
fanciful	ˈfænsɪfl
fancifully	ˈfænsɪfəli
fang	fæŋ
fantasia	fænˈteɪziə
fantasize	ˈfæntəsaɪz
fantasist	ˈfæntəsɪst
fantastic	fænˈtæstɪk
fantastically	fænˈtæstɪkli
famished	ˈfæmɪʃt
fallen	ˈfɔːlən
fan	fæn
familiar	fəˈmɪliə(r)
far	fɑː(r)
fall	fɔːl
fell	fel
fallen	ˈfɔːlən
fantasy	ˈfæntəsi
faraway	ˈfɑːrəweɪ
fare	feə(r)
farad	ˈfæræd
fanzine	ˈfænziːn
farm	fɑːm
farce	fɑːs
farmland	ˈfɑːmlænd
farrow	ˈfærəʊ
farmhouse	ˈfɑːmhaʊs
farrago	fəˈrɑːɡəʊ
farmyard	ˈfɑːmjɑːd
fart	fɑːt
farther	ˈfɑːðə(r)
farewell	ˌfeəˈwel
farcical	ˈfɑːsɪkl
farmer	ˈfɑːmə(r)
farrier	ˈfæriə(r)
farthest	ˈfɑːðɪst
farthingale	ˈfɑːðɪŋɡeɪl
fascia	ˈfeɪʃə
farmstead	ˈfɑːmsted
farthing	ˈfɑːðɪŋ
fartlek	ˈfɑːtlek
fashion	ˈfæʃn
farming	ˈfɑːmɪŋ
fast	fɑːst
fascist	ˈfæʃɪst
fascinated	ˈfæsɪneɪtɪd
fastidious	fæˈstɪdiəs
fastidiously	fæˈstɪdiəsli
fascism	ˈfæʃɪzəm
fatalism	ˈfeɪtəlɪzəm
fatalist	ˈfeɪtəlɪst
fat	fæt
fatness	fætnəs
fascinating	ˈfæsɪneɪtɪŋ
fascinatingly	ˈfæsɪneɪtɪŋli
fatal	ˈfeɪtl
fatally	ˈfeɪtəli
fate	feɪt
fatality	fəˈtæləti
fastball	ˈfɑːstbɔːl
fastener	ˈfɑːsnə(r)
fascinate	ˈfæsɪneɪt
fascination	ˌfæsɪˈneɪʃn
fatherly	ˈfɑːðəli
fatiguing	fəˈtiːɡɪŋ
fatigued	fəˈtiːɡd
fastness	ˈfɑːstnəs
fatherland	ˈfɑːðəlænd
fatalistic	ˌfeɪtəˈlɪstɪk
fatalistically	ˌfeɪtəˈlɪstɪkəli
fatherless	ˈfɑːðələs
fastening	ˈfɑːsnɪŋ
fatherhood	ˈfɑːðəhʊd
fashionable	ˈfæʃnəbl
fashionably	ˈfæʃnəbli
fathom	ˈfæðəm
fasten	ˈfɑːsn
fattening	ˈfætnɪŋ
fatwa	ˈfætwɑː
faucet	ˈfɔːsɪt
fault	fɔːlt
fateful	ˈfeɪtfl
fatigue	fəˈtiːɡ
fatten	ˈfætn
fatty	ˈfæti
fated	ˈfeɪtɪd
faulty	ˈfɔːlti
fauna	ˈfɔːnə
father	ˈfɑːðə(r)
fatuous	ˈfætʃuəs
fatuously	ˈfætʃuəsli
fatso	ˈfætsəʊ
faultless	ˈfɔːltləs
faultlessly	ˈfɔːltləsli
favela	fæˈvelə
fave	feɪv
faun	fɔːn
faustian	ˈfaʊstiən
favour	ˈfeɪvə(r)
favourite	ˈfeɪvərɪt
fawn	fɔːn
fax	fæks
favourable	ˈfeɪvərəbl
favourability	ˌfeɪvərəˈbɪlɪti
faux	fəʊ
fear	fɪə(r)
fearless	ˈfɪələs
fearlessly	ˈfɪələsli
fearful	ˈfɪəfl
fearfully	ˈfɪəfəli
feast	fiːst
favouritism	ˈfeɪvərɪtɪzəm
feat	fiːt
fearsome	ˈfɪəsəm
favoured	ˈfeɪvəd
feathered	ˈfeðəd
faze	feɪz
feathery	ˈfeðəri
feature	ˈfiːtʃə(r)
feasible	ˈfiːzəbl
feasibility	ˌfiːzəˈbɪləti
feckless	ˈfekləs
fecklessness	ˈfekləsnəs
fed	fed
fecund	ˈfiːkənd
fecundity	fɪˈkʌndəti
federate	ˈfedəreɪt
feather	ˈfeðə(r)
federal	ˈfedərəl
fee	fiː
feeder	ˈfiːdə(r)
feed	fiːd
fed	fed
febrile	ˈfiːbraɪl
feel	fiːl
felt	felt
feedbag	ˈfiːdbæɡ
feedstuff	ˈfiːdstʌf
feet	fiːt
featureless	ˈfiːtʃələs
feeler	ˈfiːlə(r)
feeble	ˈfiːbl
feebler	ˈfiːblə(r)
feeblest	ˈfiːblɪst
feebleness	ˈfiːblnəs
feign	feɪn
feelingly	ˈfiːlɪŋli
federalist	ˈfedərəlɪst
federalism	ˈfedərəlɪzəm
feint	feɪnt
fedora	fɪˈdɔːrə
feisty	ˈfaɪsti
feline	ˈfiːlaɪn
felicity	fəˈlɪsəti
fell	fel
feces	ˈfiːsiːz
fecal	ˈfiːkl
fellate	fəˈleɪt
feldspar	ˈfeldspɑː(r)
federation	ˌfedəˈreɪʃn
fella	ˈfelə(r)
feeding	ˈfiːdɪŋ
felon	ˈfelən
fellowship	ˈfeləʊʃɪp
felonious	fəˈləʊniəs
feminine	ˈfemənɪn
felicitous	fəˈlɪsɪtəs
felicitously	fəˈlɪsɪtəsli
female	ˈfiːmeɪl
feminist	ˈfemənɪst
femur	ˈfiːmə(r)
femora	ˈfemərə
femoral	ˈfemərəl
fellatio	fəˈleɪʃiəʊ
feminism	ˈfemənɪzəm
femme	fem
fen	fen
felt	felt
fender	ˈfendə(r)
fend	fend
femininity	ˌfeməˈnɪnəti
felony	ˈfeləni
fencer	ˈfensə(r)
fencing	ˈfensɪŋ
fenland	ˈfenlænd
fennel	ˈfenl
fenugreek	ˈfenjʊɡriːk
fellow	ˈfeləʊ
feminize	ˈfemənaɪz
feral	ˈferəl
ferment	fəˈment
fermentation	ˌfɜːmenˈteɪʃn
fermium	ˈfɜːmiəm
ferret	ˈferɪt
feeling	ˈfiːlɪŋ
fermata	fɜːˈmɑːtə
ferrite	ˈferaɪt
ferromagnetic	ˌferəʊmæɡˈnetɪk
ferocity	fəˈrɒsəti
ferocious	fəˈrəʊʃəs
ferociously	fəˈrəʊʃəsli
fence	fens
ferry	ˈferi
fertile	ˈfɜːtaɪl
ferryman	ˈferimən
ferrymen	ˈferimən
fertility	fəˈtɪləti
fertilize	ˈfɜːtəlaɪz
fertilization	ˌfɜːtəlaɪˈzeɪʃn
ferrous	ˈferəs
festive	ˈfestɪv
fern	fɜːn
ferrule	ˈferuːl
fervour	ˈfɜːvə(r)
fervent	ˈfɜːvənt
fervently	ˈfɜːvəntli
festoon	feˈstuːn
festival	ˈfestɪvl
fervid	ˈfɜːvɪd
fervidly	ˈfɜːvɪdli
fertilizer	ˈfɜːtəlaɪzə(r)
fester	ˈfestə(r)
fetal	ˈfiːtl
fetching	ˈfetʃɪŋ
fetchingly	ˈfetʃɪŋli
fetch	fetʃ
fess	fes
fetlock	ˈfetlɒk
fest	fest
fetter	ˈfetə(r)
fetid	ˈfetɪd
fetishize	ˈfetɪʃaɪz
feud	fjuːd
fetish	ˈfetɪʃ
feudalism	ˈfjuːdəlɪzəm
feudalistic	ˌfjuːdəˈlɪstɪk
feverfew	ˈfiːvəfjuː
festivity	feˈstɪvəti
feudal	ˈfjuːdl
festschrift	ˈfestʃrɪft
fevered	ˈfiːvəd
feverish	ˈfiːvərɪʃ
feverishly	ˈfiːvərɪʃli
fettuccine	ˌfetʊˈtʃiːni
fez	fez
fey	feɪ
fetus	ˈfiːtəs
fever	ˈfiːvə(r)
fib	fɪb
few	fjuː
fettle	ˈfetl
fiasco	fiˈæskəʊ
fibreglass	ˈfaɪbəɡlɑːs
fibro	ˈfaɪbrəʊ
fibrin	ˈfaɪbrɪn
fibroma	faɪˈbrəʊmə
fibroid	ˈfaɪbrɔɪd
fibrinogen	faɪˈbrɪnədʒən
fickle	ˈfɪkl
fickleness	ˈfɪklnəs
fictionalize	ˈfɪkʃənəlaɪz
fiat	ˈfiːæt
fibrous	ˈfaɪbrəs
fiddle	ˈfɪdl
fictional	ˈfɪkʃənl
fidget	ˈfɪdʒɪt
fidelity	fɪˈdeləti
fiddly	ˈfɪdli
fiduciary	fɪˈdjuːʃəri
fief	fiːf
field	fiːld
fibre	ˈfaɪbə(r)
fibula	ˈfɪbjələ
fibulae	ˈfɪbjəliː
fielding	ˈfiːldɪŋ
fielder	ˈfiːldə(r)
fieldsman	ˈfiːldzmən
fieldsmen	ˈfiːldzmən
fiddlesticks	ˈfɪdlstɪks
fictitious	fɪkˈtɪʃəs
fieldwork	ˈfiːldwɜːk
fieldworker	ˈfiːldwɜːkə(r)
fiend	fiːnd
fiendish	ˈfiːndɪʃ
fiendishly	ˈfiːndɪʃli
fierce	fɪəs
fiercely	fɪəsli
fiery	ˈfaɪəri
fifteen	ˌfɪfˈtiːn
fifteenth	ˌfɪfˈtiːnθ
fifth	fɪfθ
fifthly	ˈfɪfθli
fife	faɪf
fiesta	fiˈestə
fight	faɪt
fought	fɔːt
fighting	ˈfaɪtɪŋ
fiddler	ˈfɪdlə(r)
fig	fɪɡ
fidgety	ˈfɪdʒɪti
figment	ˈfɪɡmənt
figurative	ˈfɪɡərətɪv
fighter	ˈfaɪtə(r)
figurine	ˈfɪɡəriːn
fiddling	ˈfɪdlɪŋ
figured	ˈfɪɡəd
fiction	ˈfɪkʃn
filament	ˈfɪləmənt
figure	ˈfɪɡə(r)
figurehead	ˈfɪɡəhed
fightback	ˈfaɪtbæk
filbert	ˈfɪlbət
fifty	ˈfɪfti
fiftieth	ˈfɪftiəθ
filibuster	ˈfɪlɪbʌstə(r)
fill	fɪl
fillet	ˈfɪlɪt
filling	ˈfɪlɪŋ
filename	ˈfaɪlneɪm
file	faɪl
filing	ˈfaɪlɪŋ
filigree	ˈfɪlɪɡriː
filly	ˈfɪli
filial	ˈfɪliəl
filch	fɪltʃ
fillip	ˈfɪlɪp
filmstrip	ˈfɪlmstrɪp
filmy	ˈfɪlmi
filth	fɪlθ
filler	ˈfɪlə(r)
filter	ˈfɪltə(r)
filthy	ˈfɪlθi
finagle	fɪˈneɪɡl
finale	fɪˈnɑːli
fin	fɪn
filtration	fɪlˈtreɪʃn
filtrate	ˈfɪltreɪt
final	ˈfaɪnl
finalist	ˈfaɪnəlɪst
finally	ˈfaɪnəli
finance	ˈfaɪnæns
finalize	ˈfaɪnəlaɪz
finch	fɪntʃ
find	faɪnd
found	faʊnd
finder	ˈfaɪndə(r)
finesse	fɪˈnes
financier	faɪˈnænsiə(r)
finality	faɪˈnæləti
finely	ˈfaɪnli
filmography	ˌfɪlˈmɒɡrəfi
financial	faɪˈnænʃl
financially	faɪˈnænʃəli
financially	fəˈnænʃəli
financing	ˈfaɪnænsɪŋ
finding	ˈfaɪndɪŋ
fingernail	ˈfɪŋɡəneɪl
fingering	ˈfɪŋɡərɪŋ
fingermark	ˈfɪŋɡəmɑːk
film	fɪlm
finicky	ˈfɪnɪki
fingertip	ˈfɪŋɡətɪp
finished	ˈfɪnɪʃt
finisher	ˈfɪnɪʃə(r)
finite	ˈfaɪnaɪt
finnan	ˈfɪnən
fineness	ˈfaɪnnəs
finish	ˈfɪnɪʃ
fingerboard	ˈfɪŋɡəbɔːd
finings	ˈfaɪnɪŋz
finery	ˈfaɪnəri
fioritura	fiˌɔːrɪˈtʊərə
fioriture	fiˌɔːrɪˈtʊəri
fioriture	fiˌɔːrɪˈtʊəreɪ
fir	fɜː(r)
firebrick	ˈfaɪəbrɪk
firebug	ˈfaɪəbʌɡ
fink	fɪŋk
firelight	ˈfaɪəlaɪt
firelighter	ˈfaɪəlaɪtə(r)
fireman	ˈfaɪəmən
firemen	ˈfaɪəmən
firefly	ˈfaɪəflaɪ
finial	ˈfɪniəl
fireside	ˈfaɪəsaɪd
firehouse	ˈfaɪəhaʊs
firebomb	ˈfaɪəbɒm
fireplace	ˈfaɪəpleɪs
fingerprint	ˈfɪŋɡəprɪnt
fireproof	ˈfaɪəpruːf
firework	ˈfaɪəwɜːk
firkin	ˈfɜːkɪn
firm	fɜːm
first	fɜːst
firmware	ˈfɜːmweə(r)
fiscal	ˈfɪskl
fiscally	ˈfɪskli
fireguard	ˈfaɪəɡɑːd
fishery	ˈfɪʃəri
firebrand	ˈfaɪəbrænd
fingerprinting	ˈfɪŋɡəprɪntɪŋ
fish	fɪʃ
finger	ˈfɪŋɡə(r)
firing	ˈfaɪərɪŋ
fisher	ˈfɪʃə(r)
fishing	ˈfɪʃɪŋ
firewood	ˈfaɪəwʊd
fisherman	ˈfɪʃəmən
fishermen	ˈfɪʃəmən
fishtail	ˈfɪʃteɪl
fishy	ˈfɪʃi
fishcake	ˈfɪʃkeɪk
firmament	ˈfɜːməmənt
fissure	ˈfɪʃə(r)
firewall	ˈfaɪəwɔːl
fissile	ˈfɪsaɪl
fist	fɪst
fit	fɪt
fistula	ˈfɪstjʊlə
fishmonger	ˈfɪʃmʌŋɡə(r)
fishbowl	ˈfɪʃbəʊl
fitting	ˈfɪtɪŋ
firstly	ˈfɜːstli
fishwife	ˈfɪʃwaɪf
fishwives	ˈfɪʃwaɪvz
fistful	ˈfɪstfʊl
fire	ˈfaɪə(r)
fine	faɪn
firth	fɜːθ
fivefold	ˈfaɪvfəʊld
fisticuffs	ˈfɪstɪkʌfs
fitful	ˈfɪtfl
fitfully	ˈfɪtfəli
fitted	ˈfɪtɪd
fixation	fɪkˈseɪʃn
fixer	ˈfɪksə(r)
fixated	fɪkˈseɪtɪd
fives	faɪvz
fiver	ˈfaɪvə(r)
fixity	ˈfɪksəti
fixings	ˈfɪksɪŋz
fixative	ˈfɪksətɪv
fixture	ˈfɪkstʃə(r)
fizzle	ˈfɪzl
fjord	ˈfjɔːd
fizzy	ˈfɪzi
fixed	fɪkst
flab	flæb
flaccid	ˈflæsɪd
fission	ˈfɪʃn
flagellate	ˈflædʒəleɪt
flagellation	ˌflædʒəˈleɪʃn
firmly	ˈfɜːmli
fitment	ˈfɪtmənt
fitter	ˈfɪtə(r)
fixedly	ˈfɪksɪdli
fizzer	ˈfɪzə(r)
fitness	ˈfɪtnəs
flabbergasted	ˈflæbəɡɑːstɪd
flageolet	ˈflædʒəleɪ
flack	flæk
flag	flæɡ
flagstone	ˈflæɡstəʊn
flair	fleə(r)
flak	flæk
flameproof	ˈfleɪmpruːf
fizz	fɪz
flabby	ˈflæbi
flamboyant	flæmˈbɔɪənt
flamboyance	flæmˈbɔɪəns
flamingo	fləˈmɪŋɡəʊ
flammable	ˈflæməbl
flagrant	ˈfleɪɡrənt
flagrantly	ˈfleɪɡrəntli
flake	fleɪk
flail	fleɪl
flange	flændʒ
flagpole	ˈflæɡpəʊl
flagship	ˈflæɡʃɪp
flank	flæŋk
five	faɪv
flap	flæp
flannel	ˈflænl
flan	flæn
flapjack	ˈflæpdʒæk
flanker	ˈflæŋkə(r)
flash	flæʃ
flagstaff	ˈflæɡstɑːf
flapper	ˈflæpə(r)
flannelette	ˌflænəˈlet
flasher	ˈflæʃə(r)
flashlight	ˈflæʃlaɪt
flashing	ˈflæʃɪŋ
flask	flɑːsk
flat	flæt
flatness	flætnəs
flatfish	ˈflætfɪʃ
flaky	ˈfleɪki
flakiness	ˈfleɪkinəs
flaming	ˈfleɪmɪŋ
flatten	ˈflætn
flatlet	ˈflætlət
flatmate	ˈflætmeɪt
flatbed	ˈflætbed
flagon	ˈflæɡən
flattering	ˈflætərɪŋ
flatter	ˈflætə(r)
flatterer	ˈflætərə(r)
fix	fɪks
flared	fleəd
flattery	ˈflætəri
flagged	flæɡd
flamenco	fləˈmeŋkəʊ
flatus	ˈfleɪtəs
flatware	ˈflætweə(r)
flare	fleə(r)
flashpoint	ˈflæʃpɔɪnt
flatties	ˈflætiz
flaw	flɔː
flashy	ˈflæʃi
flatly	ˈflætli
flatcar	ˈflætkɑː(r)
flatulence	ˈflætjʊləns
flathead	ˈflæthed
flawed	flɔːd
flax	flæks
flavoured	ˈfleɪvəd
flaunt	flɔːnt
flawless	ˈflɔːləs
flawlessly	ˈflɔːləsli
flavoursome	ˈfleɪvəsəm
flaxen	ˈflæksn
flea	fliː
flavouring	ˈfleɪvərɪŋ
flatulent	ˈflætjʊlənt
fleck	flek
fled	fled
flavonoid	ˈfleɪvənɔɪd
fleece	fliːs
flavourless	ˈfleɪvələs
flee	fliː
fled	fled
fledged	fledʒd
fleecy	ˈfliːsi
fleet	fliːt
fleeting	ˈfliːtɪŋ
fleetingly	ˈfliːtɪŋli
flesh	fleʃ
flavour	ˈfleɪvə(r)
fleshly	ˈfleʃli
flex	fleks
flew	fluː
fledgling	ˈfledʒlɪŋ
flick	flɪk
fleshy	ˈfleʃi
flicker	ˈflɪkə(r)
flic	flɪk
flibbertigibbet	ˈflɪbətidʒɪbɪt
flexor	ˈfleksə(r)
flexitime	ˈfleksitaɪm
flexion	ˈflekʃn
flinch	flɪntʃ
flight	flaɪt
flighty	ˈflaɪti
flightless	ˈflaɪtləs
fling	flɪŋ
flung	flʌŋ
flint	flɪnt
flip	flɪp
flinty	ˈflɪnti
flexible	ˈfleksəbl
flexibility	ˌfleksəˈbɪləti
flintlock	ˈflɪntlɒk
flippant	ˈflɪpənt
flippancy	ˈflɪpənsi
flirt	flɜːt
flipping	ˈflɪpɪŋ
flit	flɪt
flirtation	flɜːˈteɪʃn
flirtatious	flɜːˈteɪʃəs
flirtatiously	flɜːˈteɪʃəsli
floating	ˈfləʊtɪŋ
